color,sentence
red,They're red
red,Red is better
red,Tom turned red
red,Are my ears red?
red,Cherries are red
red,His eyes are red
red,I have a red car
red,I like red roses
red,Is the apple red?
red,My pencil is red
red,"Red wine, please"
red,Tom has red hair
red,Your face is red
red,I have a red bike
red,Tom's face is red
red,I bought a red tie
red,I dyed my hair red
red,It's a red herring
red,The apples are red
red,This pencil is red
red,Tom's face got red
red,Tom's nose was red
red,You're turning red
red,Mine is the red one
red,Tom never wears red
red,Tom ran a red light
red,You ran a red light
red,I have a red bicycle
red,The light turned red
red,Red is out of fashion
red,Tom turned bright red
red,What's that red stuff?
red,I want the red balloon
red,She was dressed in red
red,The boy had a red face
red,This apple is very red
red,He decided on a red car
red,Do you have a red pencil?
red,My favorite color is red
red,Tom doesn't eat red meat
red,Tom seldom eats red meat
red,Tom's eyes are red today
red,Didn't you order red wine?
red,He decided on the red car
red,I bought a red sports car
red,Mary doesn't eat red meat
red,Tom doesn't have red hair
red,I saw a man with a red hat
red,The leaves are turning red
red,"A glass of red wine, please"
red,I don't like the red jacket
red,She decided on the red coat
red,The roof of my house is red
red,Tom saw something red there
red,I don't usually eat red meat
red,Tom doesn't like wearing red
red,Her eyes were red from crying
red,I opened a bottle of red wine
red,I saw a house with a red roof
red,The cloth was dyed bright red
red,Why's that red light blinking?
red,I prefer red wine to white wine
red,Nancy wants a pair of red shoes
red,Her red dress made her stand out
red,Where's the red tie I bought you?
red,Which wine goes best with red meat?
red,I shouldn't have run that red light
red,She looks prettier in her red dress
red,Tom handed Mary a glass of red wine
red,Do you prefer white wine or red wine?
red,"I'd like a glass of red wine, please"
red,That's Tom's house with the red roof
red,Tom bought three bottles of red wine
red,Tom wore a red and white striped tie
red,We shouldn't have run that red light
red,Mary is wearing a beautiful red dress
red,Tom admitted to spilling the red wine
red,I like white wine better than red wine
red,"The French flag is blue, white and red"
red,The leaves on the tree have turned red
red,I like white roses better than red ones
red,"If you mix blue and red, you get violet"
red,I know you'd prefer a bottle of red wine
red,Do you sometimes drink red wine with fish?
red,"If you mix blue and red, you'll get purple"
red,That house with the red roof is Tom's house
red,That house with the red roof is Tom's house
red,The red belt goes well with her black dress
red,I don't think this shirt goes with that red tie
red,Tom's bicycle was blue before he painted it red
red,"Tom can play ""Red River Valley"" on the harmonica"
red,"Which do you like better, white wine or red wine?"
red,How do you remove red wine stains from your carpet?
red,I don't remember ever seeing Tom carrying a red bag
red,The doctor told Tom to reduce his red meat consumption
red,He anonymously donated a large sum of money to the Red Cross
red,The doctor told Tom to lower the amount of red meat that he ate
red,Tom sat by the pool drinking red wine and eating expensive cheese
red,"Tom didn't use to like red wine, but now he drinks it almost every day"
red,Tom donated money to the Red Cross to help survivors of the earthquake
red,My car is red
red,Apples are red
red,The book is red
red,His face was red
red,Its color is red
red,The apple is red
red,This is red wine
red,He wore red pants
red,Her nails are red
red,She's turning red
red,The roses are red
red,Your lips are red
red,All apples are red
red,I wanted red shoes
red,The signal was red
red,Her cheeks were red
red,Her face turned red
red,I have two red fish
red,My new dress is red
red,He wants red glasses
red,I bought a red diary
red,I have a new red car
red,She wore a red dress
red,That apple isn't red
red,The red house is new
red,The red skirt is new
red,Tom is a Red Sox fan
red,I see a red car ahead
red,She wore a red blouse
red,This is my red pencil
red,Where's the Red Cross?
red,I like dark red better
red,The sky at dusk is red
red,Gray goes well with red
red,I brought you red roses
red,Let's paint the town red
red,She painted the wall red
red,The blood was bright red
red,The red dress suited her
red,We caught him red-handed
red,Your face is getting red
red,That red dress suited her
red,The company is in the red
