,0
0,"Her brow was clear and ample, her blue eyes cloudless, and her lips and the moulding of her face so expressive of sensibility and sweetness that none could behold her without looking on her as of a distinct species, a being heaven-sent, and bearing a celestial stamp in all her features"
1,At length the high white steeple of the town met my eyes
2,"the rain pattered dismally against the panes, and my candle was nearly burnt out, when, by the glimmer of the half-extinguished light, I saw the dull yellow eye of the creature open;"
3,His yellow skin scarcely covered the work of muscles and arteries beneath;
4,"but these luxuriances only formed a more horrid contrast with his watery eyes, that seemed almost of the same colour as the dun-white sockets in which they were set, his shrivelled complexion and straight black lips"
5,"when, by the dim and yellow light of the moon, as it forced its way through the window shutters, I beheld the wretch—the miserable monster whom I had created"
6,"Morning, dismal and wet, at length dawned and discovered to my sleepless and aching eyes the church of Ingolstadt, its white steeple and clock, which indicated the sixth hour"
7,"I did not dare return to the apartment which I inhabited, but felt impelled to hurry on, although drenched by the rain which poured from a black and comfortless sky"
8,The blue lake and snow-clad mountains—they never change;
9,"he is very tall of his age, with sweet laughing blue eyes, dark eyelashes, and curling hair"
10,"I discovered more distinctly the black sides of Jura, and the bright summit of Mont Blanc"
11,the sky and lake are blue and placid
12,"But it was augmented and rendered sublime by the mighty Alps, whose white and shining pyramids and domes towered above all, as belonging to another earth, the habitations of another race of beings"
13,"“It was noon when I awoke, and allured by the warmth of the sun, which shone brightly on the white ground, I determined to recommence my travels;"
14,"Yet she was meanly dressed, a coarse blue petticoat and a linen jacket being her only garb;"
15,"In the midst of poverty and want, Felix carried with pleasure to his sister the first little white flower that peeped out from beneath the snowy ground"
16,"“As the sun became warmer and the light of day longer, the snow vanished, and I beheld the bare trees and the black earth"
17,The lady was dressed in a dark suit and covered with a thick black veil
18,"“In the meanwhile also the black ground was covered with herbage, and the green banks interspersed with innumerable flowers, sweet to the scent and the eyes, stars of pale radiance among the moonlight woods;"
19,"“One day, when the sun shone on the red leaves that strewed the ground and diffused cheerfulness, although it denied warmth, Safie, Agatha, and Felix departed on a long country walk, and the old man, at his own desire, was left alone in the cottage"
20,"“I swear,” he cried, “by the sun, and by the blue sky of heaven, and by the fire of love that burns my heart, that if you grant my prayer, while they exist you shall never behold me again"
21,"We saw many ruined castles standing on the edges of precipices, surrounded by black woods, high and inaccessible"
22,"and on the sudden turn of a promontory, flourishing vineyards with green sloping banks and a meandering river and populous towns occupy the scene"
23,"I lay at the bottom of the boat, and as I gazed on the cloudless blue sky, I seemed to drink in a tranquillity to which I had long been a stranger"
24,"I have visited the lakes of Lucerne and Uri, where the snowy mountains descend almost perpendicularly to the water, casting black and impenetrable shades, which would cause a gloomy and mournful appearance were it not for the most verdant islands that relieve the eye by their gay appearance;"
25,"It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain"
26,"but everything is on a lower scale, and the green hills want the crown of distant white Alps which always attend on the piny mountains of my native country"
27,"Its fair lakes reflect a blue and gentle sky, and when troubled by the winds, their tumult is but as the play of a lively infant when compared to the roarings of the giant ocean"
28,"He had apparently been strangled, for there was no sign of any violence except the black mark of fingers on his neck"
29,"As my sickness quitted me, I was absorbed by a gloomy and black melancholy that nothing could dissipate"
30,"Sometimes they were the expressive eyes of Henry, languishing in death, the dark orbs nearly covered by the lids and the long black lashes that fringed them;"
31,"Sometimes, indeed, I felt a wish for happiness and thought with melancholy delight of my beloved cousin or longed, with a devouring maladie du pays, to see once more the blue lake and rapid Rhone, that had been so dear to me in early childhood;"
32,"we walked for a short time on the shore, enjoying the transitory light, and then retired to the inn and contemplated the lovely scene of waters, woods, and mountains, obscured in darkness, yet still displaying their black outlines"
33,"The windows of the room had before been darkened, and I felt a kind of panic on seeing the pale yellow light of the moon illuminate the chamber"
34,"to execute this dear revenge will I again behold the sun and tread the green herbage of earth, which otherwise should vanish from my eyes for ever"
35,"The blue Mediterranean appeared, and by a strange chance, I saw the fiend enter by night and hide himself in a vessel bound for the Black Sea"
36,"The snows descended on my head, and I saw the print of his huge step on the white plain"
37,How unlike it was to the blue seasons of the south!
38,"There he lies, white and cold in death"
39,"The ladies were somewhat more fortunate, for they had the advantage of ascertaining from an upper window that he wore a blue coat, and rode a black horse"
40,"I remember the time when I liked a red coat myself very well—and, indeed, so I do still at my heart;"
41,"and as soon as Nicholls has made white soup enough, I shall send round my cards"
42,"Till Elizabeth entered the drawing-room at Netherfield, and looked in vain for Mr. Wickham among the cluster of red coats there assembled, a doubt of his being present had never occurred to her"
43,"The garden sloping to the road, the house standing in it, the green pales, and the laurel hedge, everything declared they were arriving"
44,"but the ladies, not having shoes to encounter the remains of a white frost, turned back;"
45,She is grown so brown and coarse!
46,I longed to know whether he would be married in his blue coat
47,"Except on the crown, which was raggedly bald, he had stiff, black hair, standing jaggedly all over it, and growing down hill almost to his broad, blunt nose"
48,"beyond, a quiet coppice-wood, in which many leaves of burning red and golden yellow still remained upon the trees"
49,"Consequently, another drawer, and two porters, and several maids and the landlady, were all loitering by accident at various points of the road between the Concord and the coffee-room, when a gentleman of sixty, formally dressed in a brown suit of clothes, pretty well worn, but very well kept, with large square cuffs and large flaps to the pockets, passed along on his way to his breakfast"
50,"He had a good leg, and was a little vain of it, for his brown stockings fitted sleek and close, and were of a fine texture;"
51,"His linen, though not of a fineness in accordance with his stockings, was as white as the tops of the waves that broke upon the neighbouring beach, or the specks of sail that glinted in the sunlight far at sea"
52,"When it was dark, and he sat before the coffee-room fire, awaiting his dinner as he had awaited his breakfast, his mind was busily digging, digging, digging, in the live red coals"
53,"A bottle of good claret after dinner does a digger in the red coals no harm, otherwise than as it has a tendency to throw him out of work"
54,"It was a large, dark room, furnished in a funereal manner with black horsehair, and loaded with heavy dark tables"
55,"as if they were buried, in deep graves of black mahogany, and no light to speak of could be expected from them until they were dug out"
56,"As his eyes rested on a short, slight, pretty figure, a quantity of golden hair, a pair of blue eyes that met his own with an inquiring look, and a forehead with a singular capacity (remembering how young and smooth it was), of rifting and knitting itself into an expression that was not quite one of perplexity, or wonder, or alarm, or merely of a bright fixed attention, though it included all the four expressions—as his eyes rested on these things, a sudden vivid likeness passed before him, of a child whom he had held in his arms on the passage across that very Channel, one cold time, when the hail drifted heavily and the sea ran high"
57,"The likeness passed away, like a breath along the surface of the gaunt pier-glass behind her, on the frame of which, a hospital procession of negro cupids, several headless and all cripples, were offering black baskets of Dead Sea fruit to black divinities of the feminine gender—and he made his formal bow to Miss Manette"
58,"A wild-looking woman, whom even in his agitation, Mr. Lorry observed to be all of a red colour, and to have red hair, and to be dressed in some extraordinary tight-fitting fashion, and to have on her head a most wonderful bonnet like a Grenadier wooden measure, and good measure too, or a great Stilton cheese, came running into the room in advance of the inn servants, and soon settled the question of his detachment from the poor young lady, by laying a brawny hand upon his chest, and sending him flying back against the nearest wall"
59,"“And you in brown!” she said, indignantly turning to Mr. Lorry;"
60,"The wine was red wine, and had stained the ground of the narrow street in the suburb of Saint Antoine, in Paris, where it was spilled"
61,"The hands of the man who sawed the wood, left red marks on the billets;"
62,"The time was to come, when that wine too would be spilled on the street-stones, and when the stain of it would be red upon many there"
63,"nor compressed lips, white with what they suppressed;"
64,"The wine-shop was a corner shop, better than most others in its appearance and degree, and the master of the wine-shop had stood outside it, in a yellow waistcoat and green breeches, looking on at the struggle for the lost wine"
65,"His shirt-sleeves were rolled up, too, and his brown arms were bare to the elbows"
66,"“It is not often,” said the second of the three, addressing Monsieur Defarge, “that many of these miserable beasts know the taste of wine, or of anything but black bread and death"
67,"It opened from a stinking little black courtyard, and was the general public entrance to a great pile of houses, inhabited by a great number of people"
68,"for, with his back towards the door, and his face towards the window where the keeper of the wine-shop stood looking at him, a white-haired man sat on a low bench, stooping forward and very busy, making shoes"
69,"Good day!” said Monsieur Defarge, looking down at the white head that bent low over the shoemaking"
70,"He had a white beard, raggedly cut, but not very long, a hollow face, and exceedingly bright eyes"
71,"The hollowness and thinness of his face would have caused them to look large, under his yet dark eyebrows and his confused white hair, though they had been really otherwise;"
72,"His yellow rags of shirt lay open at the throat, and showed his body to be withered and worn"
73,"As the captive of many years sat looking fixedly, by turns, at Mr. Lorry and at Defarge, some long obliterated marks of an actively intent intelligence in the middle of the forehead, gradually forced themselves through the black mist that had fallen on him"
74,"His hands released her as he uttered this cry, and went up to his white hair, which they tore in a frenzy"
75,"His cold white head mingled with her radiant hair, which warmed and lighted it as though it were the light of Freedom shining on him"
76,"“Your papers, travellers!” “See here then, Monsieur the Officer,” said Defarge, getting down, and taking him gravely apart, “these are the papers of monsieur inside, with the white head"
77,"They were consigned to me, with him, at the—” He dropped his voice, there was a flutter among the military lanterns, and one of them being handed into the coach by an arm in uniform, the eyes connected with the arm looked, not an every day or an every night look, at monsieur with the white head"
78,"They kept him in a dark place, like a cheese, until he had the full Tellson flavour and blue-mould upon him"
79,"and between the cups and saucers arranged for breakfast, and the lumbering deal table, a very clean white cloth was spread"
80,"Exceedingly red-eyed and grim, as if he had been up all night at a party which had taken anything but a convivial turn, Jerry Cruncher worried his breakfast rather than ate it, growling over it like any four-footed inmate of a menagerie"
81,"It had more than once happened, that the Judge in the black cap pronounced his own doom as certainly as the prisoner’s, and even died before him"
82,"As an emotion of the mind will express itself through any covering of the body, so the paleness which his situation engendered came through the brown upon his cheek, showing the soul to be stronger than the sun"
83,"When the Attorney-General ceased, a buzz arose in the court as if a cloud of great blue-flies were swarming about the prisoner, in anticipation of what he was soon to become"
84,"The blue-flies buzzed again, and Mr. Attorney-General called Mr. Jarvis Lorry"
85,Buzzing from the blue-flies
86,"for, the crowd came pouring out with a vehemence that nearly took him off his legs, and a loud buzz swept into the street as if the baffled blue-flies were dispersing in search of other carrion"
87,Only his daughter had the power of charming this black brooding from his mind
88,"Change places with him, and would you have been looked at by those blue eyes as he was, and commiserated by that agitated face as he was?"
89,"In a building at the back, attainable by a courtyard where a plane-tree rustled its green leaves, church-organs claimed to be made, and silver to be chased, and likewise gold to be beaten by some mysterious giant who had a golden arm starting out of the wall of the front hall—as if he had beaten himself precious, and menaced a similar conversion of all visitors"
90,"It proceeded from Miss Pross, the wild red woman, strong of hand, whose acquaintance he had first made at the Royal George Hotel at Dover, and had since improved"
91,"On Sundays, Miss Pross dined at the Doctor’s table, but on other days persisted in taking her meals at unknown periods, either in the lower regions, or in her own room on the second floor—a blue chamber, to which no one but her Ladybird ever gained admittance"
92,"“Sometimes, I have sat here of an evening, until I have fancied—but even the shade of a foolish fancy makes me shudder to-night, when all is so black and solemn—”"
93,"who, in pursuance of the charm, was required to officiate “frizzled, powdered, in a gold-laced coat, pumps, and white silk stockings"
94,"And who among the company at Monseigneur’s reception in that seventeen hundred and eightieth year of our Lord, could possibly doubt, that a system rooted in a frizzled hangman, powdered, gold-laced, pumped, and white-silk stockinged, would see the very stars out!"
95,"When the heavy drag had been adjusted to the wheel, and the carriage slid down hill, with a cinderous smell, in a cloud of dust, the red glow departed quickly;"
96,"He stooped a little, and with his tattered blue cap pointed under the carriage"
97,"All covered with dust, white as a spectre, tall as a spectre!”"
98,"The accursed was already under the carriage with some half-dozen particular friends, pointing out the chain with his blue cap"
99,"to whom the mender of roads, with the aid of the blue cap without which he was nothing, still enlarged upon his man like a spectre, as long as they could bear it"
100,"“What is that?” he calmly asked, looking with attention at the horizontal lines of black and stone colour"
101,"the slow toil up the hill at sunset, the setting sun, the descent, the mill, the prison on the crag, the little village in the hollow, the peasants at the fountain, and the mender of roads with his blue cap pointing out the chain under the carriage"
102,The stone faces on the outer walls stared blindly at the black night for three heavy hours;
103,"Already, the mender of roads had penetrated into the midst of a group of fifty particular friends, and was smiting himself in the breast with his blue cap"
104,"His chin dropped upon his hand, and his white hair overshadowed his face:"
