,0
0,"""Exhausted"" is the first Foo Fighters release and the lead single from the debut album. It was only issued as a promotional single, pressed on black "" vinyl. The song is notable for being the first original Foo Fighters track released to the public, when it premiered January ,  on Eddie Vedder's Self-Pollution Radio broadcast."
1,"The white tiger or bleached tiger is a pigmentation variant of the Bengal tiger, which is reported in the wild from time to time in the Indian states of Assam, West Bengal and Bihar in the Sunderbans region and especially in the former State of Rewa. Such a tiger has the black stripes typical of the Bengal tiger, but carries a white or near-white coat."
2,"Rudolph the Red-Nosed Reindeer is a legendary reindeer, created by Robert Lewis May, usually depicted as a young fawn who barely has antlers, with a glowing red nose, popularly known as ""Santa's ninth reindeer."" When depicted, he is the lead reindeer pulling Santa's sleigh on Christmas Eve. The luminosity of his nose is so great that it illuminates the team's path through inclement winter weather."
3,"Nocturna Artificialia is the first credited film directed and produced by the Brothers Quay, Timothy and Stephen. ""This British fraternal directing team is known for their avant-garde puppet films."" Rather than dialog, this film uses shadows and music to create the dream-like state of the main character and his journey on a red tram at night."
4,"Breton sauce, (fr. ""Sauce Bretonne"") is a French compound sauce consisting of a velouté base with julienned onion, leeks, celery heart and mushrooms, mounted with butter and cream. It has been referred to as a brown version of ""Sauce soubise"" which has as its base a béchamel sauce."
5,"Breton sauce, (fr. ""Sauce Bretonne"") is a French compound sauce consisting of a velouté base with julienned onion, leeks, celery heart and mushrooms, mounted with butter and cream. It has been referred to as a brown version of ""Sauce soubise"" which has as its base a béchamel sauce."
6,"Nocturna Artificialia is the first credited film directed and produced by the Brothers Quay, Timothy and Stephen. ""This British fraternal directing team is known for their avant-garde puppet films."" Rather than dialog, this film uses shadows and music to create the dream-like state of the main character and his journey on a red tram at night."
7,"A pointe shoe is a type of shoe worn by ballet dancers when performing pointe work. Pointe shoes were conceived in response to the desire for dancers to appear weightless and sylph-like and have evolved to enable dancers to dance ""en pointe"" (on the tips of their toes) for extended periods of time. They are manufactured in a variety of colors, most commonly in shades of light pink."
8,"Camassia cusickii, common name Cussick's camas, is a species of plant in the Asparagaceae family (subfamily Agavoideae). It is native to parts of North America. It has linear leaves with parallel venation and flowers in parts of three. The flowers are usually ice blue or baby blue in color, although they can be various shades of blue, cream and white."
9,"""Exhausted"" is the first Foo Fighters release and the lead single from the debut album. It was only issued as a promotional single, pressed on black "" vinyl. The song is notable for being the first original Foo Fighters track released to the public, when it premiered January ,  on Eddie Vedder's Self-Pollution Radio broadcast."
10,"Phenazine is an organic compound with the formula (CH)N. It is a dibenzo annulated pyrazine, and the parent substance of many dyestuffs, such as the toluylene red, indulines, and safranines (and the closely related eurhodines). Phenazine crystallizes in yellow needles, which are only sparingly soluble in alcohol. Sulfuric acid dissolves it, forming a deep-red solution."
11,"Dahlia coccinea is a species in the genus Dahlia, family Asteraceae. Common name is ""red dahlia"" although the flowers can be orange or occasionally yellow as well as the more common red. The species is native to Mexico but has long been cultivated in other countries for its showy flowers."
12,"Phenazine is an organic compound with the formula (CH)N. It is a dibenzo annulated pyrazine, and the parent substance of many dyestuffs, such as the toluylene red, indulines, and safranines (and the closely related eurhodines). Phenazine crystallizes in yellow needles, which are only sparingly soluble in alcohol. Sulfuric acid dissolves it, forming a deep-red solution."
13,"Camassia cusickii, common name Cussick's camas, is a species of plant in the Asparagaceae family (subfamily Agavoideae). It is native to parts of North America. It has linear leaves with parallel venation and flowers in parts of three. The flowers are usually ice blue or baby blue in color, although they can be various shades of blue, cream and white."
14,"Camassia cusickii, common name Cussick's camas, is a species of plant in the Asparagaceae family (subfamily Agavoideae). It is native to parts of North America. It has linear leaves with parallel venation and flowers in parts of three. The flowers are usually ice blue or baby blue in color, although they can be various shades of blue, cream and white."
15,"Camassia cusickii, common name Cussick's camas, is a species of plant in the Asparagaceae family (subfamily Agavoideae). It is native to parts of North America. It has linear leaves with parallel venation and flowers in parts of three. The flowers are usually ice blue or baby blue in color, although they can be various shades of blue, cream and white."
16,"Wallace Houston Terry, II (April ,  – May , ) was an African-American journalist and oral historian, best known for his book about black soldiers in Vietnam, ""Bloods: An Oral History of the Vietnam War"" (), which served as a basis for the  crime thriller ""Dead Presidents""."
17,"Teeth is a  black comedy horror film written and directed by Mitchell Lichtenstein. The movie stars Jess Weixler and was produced by Lichtenstein on a budget of US$ million. The film premiered at the Sundance Film Festival on January , , and was distributed by Roadside Attractions for a limited release in the United States."
18,"Rudolph the Red-Nosed Reindeer is a legendary reindeer, created by Robert Lewis May, usually depicted as a young fawn who barely has antlers, with a glowing red nose, popularly known as ""Santa's ninth reindeer."" When depicted, he is the lead reindeer pulling Santa's sleigh on Christmas Eve. The luminosity of his nose is so great that it illuminates the team's path through inclement winter weather."
19,"The white tiger or bleached tiger is a pigmentation variant of the Bengal tiger, which is reported in the wild from time to time in the Indian states of Assam, West Bengal and Bihar in the Sunderbans region and especially in the former State of Rewa. Such a tiger has the black stripes typical of the Bengal tiger, but carries a white or near-white coat."
20,"Winston-Salem State University (WSSU), a constituent institution of the University of North Carolina, is a historically black public research university located in Winston-Salem, North Carolina, United States. It is a member-school of the Thurgood Marshall College Fund. WSSU is an accredited university offering baccalaureate and graduate programs to a diverse student population."
21,"Culver City High School is the main public high school of the Culver City Unified School District (CCUSD) in Culver City, California. It was opened in . The school's colors are blue and silver, and the mascot is the centaur. As of , its enrollment was roughly ,. Culver City High School is recognized as a California Distinguished School, earning the honor in ."
22,"Phenazine is an organic compound with the formula (CH)N. It is a dibenzo annulated pyrazine, and the parent substance of many dyestuffs, such as the toluylene red, indulines, and safranines (and the closely related eurhodines). Phenazine crystallizes in yellow needles, which are only sparingly soluble in alcohol. Sulfuric acid dissolves it, forming a deep-red solution."
23, Flowers () is a  film directed by Wang Xiaoshuai centered on a boy named Wang Han who loses his white shirt which shows that he is his school's best gymnast. The loss of the shirt is to take on greater metaphorical meaning as the film progresses which is inspired by the director's own experience as a youth during the cultural revolution and the more general confusion of childhood.
