,0
0,"ATHENS - No question where to watch the sun set on these Olympics. It was here, on the white marble slab benches of Panathinaiko Stadium, just as the bobbing gaggle of rail-thin runners made their way from Marathon."
1,"In his olive nylon bomber jacket, olive fatigue pants and black combat boots, Al-Aqsa Martyr #;s Brigades member Abu Said sees himself as a soldier, fighting Israeli occupation of Palestinian land."
2,"The House committee let bills that would have allowed some Virginia communities to keep red-light cameras at intersections die on Monday, jeopardizing the state's decade-long experiment with the technology."
3,LANCE ARMSTRONG has left the question marks hovering over his participation on next year #;s Tour de France. Armstrong claimed a record sixth yellow jersey in July when he eclipsed Tour legends Miguel Indurain 
4,"The British government condemned racist taunts by fans in Spain aimed at black players on England #;s team during an exhibition game, and soccer #;s governing body ordered an investigation Thursday."
5,Jason Williams strolled through the turnstile at Charlotte Coliseum on Tuesday night wearing a purple Hornets T-shirt from the teams  opener against the Orlando Magic and 
6,"Pity Microsoft (Nasdaq: MSFT). For all the grief we give the company about its failure to plug security holes in its software, its historical problems with the blue screen "
7,"Clinton Portis was fined \$, by the NFL for wearing a pair of red socks last week, violating the league's uniform rules."
8,"Half of the sales staff at the Bayside Expo  amp; Executive Conference Center, a private meeting hall on the Dorchester waterfront, got pink slips last week, leaving the center with just two employees in charge of generating business."
9,"AL notables A brown squirrel ran onto the field in the bottom of the third inning at Jacobs Field in Cleveland and ran circles around the Yankees and Indians . After a brief delay, play continued when the squirrel ran out and settled down in center field. Several players smiled at the sight, and the squirrel was still out there ..."
10,"Reuters - The stars of the video\game industry came out in force on Tuesday night to honor their\peers for creative excellence -- taking a page from the\Hollywood playbook with red carpets, glittering gems and a live\nationwide broadcast."
11,"NORTON -- There was a warm twilight some  hours after the golf had begun, and after a day filled with birdies, eagles, and red numbers, it had come down to this: David Duval standing over a  /-foot putt to make the cut, while in the fairway some  yards away, Vijay Singh waited anxiously for a chance to ..."
12,Brian Cashman wore a sweatshirt and blue jeans as he cruised the emptying lobby of the Anaheim Marriott on Monday. He grabbed a pizza.
13,"There was steam on the windows. Outside, the town was in the grip of a freeze. It was time for a break, and this looked like a good place to thaw out. It was all red and chrome, a meatloaf-shaped building on a side street off Burlington's main drag. A neon sign said  quot;Oasis, quot; and that's exactly ..."
14," QANDIL MOUNTAIN RANGE, Iraq -- Sunrise came to the women's camp in shafts of white light through woven roofs, but Aristan Manzur slept past . She had a fever again, and fluid blocked the air in her lungs."
15," MALMO, Sweden -- In one of his most popular songs, Swedish hip-hop artist Timbuktu sings of two strangers warily eying each other on a Stockholm subway, one a white Swede, the other an immigrant, each with his own thoughts and prejudices."
16,"Referee Rob Styles has rescinded Didier Drogba #;s yellow card which was received by the Chelsea striker for diving during Saturday #;s Premier League match at Aston Villa, the Football Association said on Monday."
17,"AP - Chris Chelios grabbed his red helmet, listened to some last-minute instructions, and then hit the ice  #; running."
18,Jason Giambi stepped out of his black convertible with the California plates outside Yankee Stadium on Friday evening and was met by a Yankees security official.
19,"Reuters - The image of a blurry red ball near\a failed star just might be the first picture ever snapped of a\planet outside our solar system, an astronomer who helped find\the object said on Monday."
20,"After helping the Red Sox stats, schedule win their first World Series championship in  years and supporting President Bush in his bid to win a few red states, the man with the red spot "
21,"Often pigeonholed as just a seller of televisions and DVD players, Royal Philips Electronics said third-quarter profit surged despite a slide into the red by its consumer electronics division."
22, NEW YORK (Reuters) - U.S. blue-chip stocks fell  on  Thursday and crude oil prices touched \$ a barrel as traders  saw a possible oil loan from U.S. government reserves as too  small to make up for supply disruptions caused by Hurricane  Ivan.
23,Jeff Sluman was eight shots worse and walked off the final green with a share of the lead. Paul Azinger was seven shots better and left Innisbrook in a state of shock.
24,BRITISH Sports Minister Richard Caborn has hit out at the racist abuse suffered by black England players during their friendly match.
25,"Every week, it seems, I see another announcement about one of the two competing blue-laser-based optical disc formats. The latest news is from the HD-DVD camp."
26,FOUR swimmers confronted by a great white shark off the coast of New Zealand were saved by dolphins that came to their rescue. The three-metre (ft) shark came 
27,"BESLAN, Russia -- Wailing and pounding their hands on dirt graves, hundreds of people dressed in black marked the end of the traditional -day mourning period for the children and adults killed after terrorists seized a school on the first day of classes."
28,"com. Researchers can now say definitively that Mars once supported a watery environment, but whether the red planet could have ever supported life is still far from certain."
29,Tokyo stocks slid Friday for a sixth straight session as concerns about rising oil prices and Wall Street #;s overnight weakness combined to knock Japanese blue chips lower.
30,A growing religious movement sees potential to shift a blue state's hue.
31,"Rolling, rolling, rolling. Keep those Mars rovers rolling. You can almost hear the crack of a Martian whip. Since January, NASAs Spirit and Opportunity robots have been wheeling and dealing with the red planet."
