color,sentence
red,1. Neither fish nor good red herring. 
red,"2. An evening red and a morning grey, is a sign of a fair day. "
red,"3. Red sky at night shepherd's delight; red sky in the morning, shepherd's warning. "
red,4. She was wearing a red hat.
red,5. Red does not suit with her complexion.
red,6. Maple leaves turn red in the autumn.
red,7. We'll roll out the red carpet for the senator.
red,8. There were red coals in the grate.
red,9. I recognized her by her red hair.
red,10. His figure is dwarfed by the huge red McDonald'ssign.
red,11. I recognized Mary by her red hat.
red,12. My bank account is in the red.
red,13. You can't wear the red pants.
red,14. Red got his nickname for his red hair.
red,15. The floor is covered with a red carpet.
red,16. He plays first base for the Red Sox.
red,17. The material has a red fleck in it.
red,18. Do you want red or white?
red,19. The red horse walks away from the white one.
red,20. The red flag flaps in the wind.
red,21. She has a fondness for red wine.
red,22. The orange curtains jar with the red furniture.
red,23. A cigarette end glowed red in the darkness.
red,24. They fronted the building with red bricks.
red,"25. I'd like some red wine, please."
red,26. Her eyes were red and watery from crying.
red,27. He sent her a single red rose.
red,28. I swapped my red scarf for her blue one.
red,29. She flipped for his red hair and freckles.
red,30. He daubed some red paint on .
red,31. She sent him a bunch of red roses.
red,32. Who is that woman in the red hat?
red,33. They furnished their house with red carpets.
red,34. Do you have this sweater in red?
red,35. I see red whenever I hear that man's name.
red,36. The collar was embroidered with very small red strawberries.
red,37. All the Plymouth hospitals are on red alert.
red,38. It's illegal to drive through a red light.
red,39. Red tights are out of stock.
red,40. I recognised Mary by her red hat.
red,41. Belladonna and red arsenic are deadly poisons .
red,42. The plant has a beautiful bright red flower.
red,43. Sheila wore a long red dress.
red,44. A red bus is stopping at the bus stop.
red,45. Sam felt her cheeks flush red.
red,46. He burned his tongue with red pepper.
red,47. A dull red flush suffused Selby's face.
red,48. The Red Cross is an international charity.
red,49. Red and yellow flames spurted out of the fire.
red,50. The girl in red is his younger sister.
red,"51. I stipulated red paint, not black."
red,52. The red carpet jars with the furniture.
red,53. The affected skin turns red and may blister.
red,54. She was wearing a snappy little red number.
red,55. The child's cheeks are tinged with red.
red,56. The juice from the berries stained their fingers red.
red,57. Her eyes were red with recent sobbing.
red,58. They walked among the crowds in Red Square.
red,59. Red eyes denote strain and fatigue.
red,"60. I mean the red one, not the green one."
red,61. How do you like my new red skirt?
red,62. She blushed as red as a rose.
red,63. Keep long hair love red eyes through love.
red,64. She has a red hat.
red,65. She is wearing a red cloak with a hood.
red,66. They rolled out the red carpet for the guests.
red,67. His eyes were red and watery.
red,68. His flesh was red and covered in sores.
red,69. We painted the door bright red .
red,70. The lawn is interspersed with red flowers.
red,71. I recognized her by her red hat.
red,72. All the technical words have been underlined in red.
red,73. The red spot on his arm is a sting.
red,74. The red flags were riffled by the breeze.
red,75. I took this picture with a red filter.
red,76. A red lamp is used as a danger signal.
red,77. She was cloaked in red silk.
red,78. The Red Cross dispensed charity to refugees.
red,79. Red tape encumbered all our attempts at action.
red,80. The rims of her eyes were red with crying.
red,81. The coals glowed red in the dying fire.
red,82. Today is a red letter day for us.
red,83. The red horse is jumping well.
red,84. These shrubs produce bright red berries.
red,85. The sky began to show red in the early morning.
red,86. Then the rain came and the red flag went up to signal a halt.
red,87. Should I buy a red car or a blue car?
red,88. The city is notorious for its red light district and strip clubs.
red,89. After only a short exposure to sunlight he began to turn red.
red,90. He drove through the red lights in an attempt to shake off the police car that was chasing him.
red,91. Because of all red tape at immigration I missed my connecting flight.
red,92. It was the sailors'first night ashore ; they painted the town red.
red,93. I got it wrong. It wasn't the red one but the blue one.
red,94. The red figure in the foreground is the artist's mother.
red,95. The Red Cross's primary concern is to preserve and protect human life.
red,96. The taxi driver was obviously in the wrong in going ahead against the red light.
red,97. I found David in the bar of the Red Lion .
red,98. Colours like red convey a sense of energy and strength.
red,99. His sudden disappearance triggered a red alert among his friends.
red,100. The stern was embellished with carvings in red and blue.Sentencedict.com
red,101. Peter is laying in with good red wine for his wedding party.
red,102. Footpaths are shown on the map as dotted red lines.
red,103. I used to hate being teased about my red hair when I was at school.
red,104. Stew the pears in red wine for a couple of hours.
red,105. The woman put forward a red silk as well as a blue one for our inspection.
red,106. He wore a red nose and novelty glasses for comic effect.
red,107. He bought a model of a red London bus as a souvenir of his trip to London.
red,108. Beyond the red end of the visible light spectrum is infrared.
red,"109. The colours of the spectrum - red, orange, yellow, green, blue, indigo and violet - can be seen in a rainbow."
red,110. I went out for a meal last night and drank copious amounts of red wine.
red,"111. Once in the bloodstream, the bacteria adhere to the surface of the red cells."
red,112. My eyes sometimes get red and itchy in the summer.
red,113. Your face is red.
red,"114. You can use any two colors — for example, red and yellow."
red,115. The little money that was available was tied up in bureaucratic red tape.
red,116. Three lines of the first paragraph were underscored in red ink.
red,117. The yearly campaign to raise funds for the Red Cross is already under way.
red,118. I'll be waiting for you at the entrance of the pub which has a sign painted with a red lobster.
red,119. We'll give her some VIP treatment and roll out the red carpet.
red,120. I vaguely remember a woman in a red dress standing outside the door.
red,121. The police pulled him over for failing to stop at a red traffic light.
red,122. Red wine is fermented at a higher temperature than white.
red,123. The murderer came out of the hotel room red - handed.
red,124. He saw her jab her thumb on a red button — a panic button.
red,"125. The contract specifies red tiles, not slates, for the roof."
red,"126. The drug increases the number of red cells in the blood, enhancing oxygen uptake by 10 percent."
red,127. The lights changed to red before I could get across.
red,"128. Sometimes think that you and I,too,are nothing more than red orbital."
red,129. The male bird has a red spot on its beak.
red,130. He's colour-blind and can't distinguish between red and green easily.
red,131. She'd been working outside all winter and her hands were red and chapped.
red,"132. By cross-breeding with our native red deer[sentencedict.com], the skia deer have affected the gene pool."
red,133. I didn't expect to get the red carpet treatment .
red,134. You can't put a red five on a red six.
red,135. Mars is sometimes called the Red Planet because of its distinctive colour.
red,136. Is not joking and Meng Po was a lover. A pull the Qingsi of. A broken Red.
red,"137. The Red Cross flew to the area of the earthquake,ready to dole out supplies of food,water and medicine."
red,138. You should tone down the red colour in your painting.
red,"139. Youth is not a time of life. It is a state of mind. It is not a matter of rosy cheeks, red lips and supple knees. It is a matter of the will, a quality of the imagination, a vigor of the emotions."
red,140. She does a lot of voluntary work for the Red Cross.
red,"141. The red sun, rising in the east[sentencedict.com], shone on the happy village."
red,142. The red book is on top and the black one underneath.
red,143. The cloth has a pattern of red and white squares.
red,144. Red and violet are at opposite ends of the spectrum.
red,145. Pink is a combination of red and white.
