,0
0,A red herring from a red-neck
1,Krauthammer I'm talking to you and other white Americans
2,"It's sad how correct bob corker was when he called the white house an ""adult day care center"
3,What's wrong with being white?
4,Living fear of out of control black crime is not egalitarian either
5,"Why you're just another far right white-supremacist, anti-Semitic, homophobic, Muslim hating, violent, bullying Conservative"
6,"Anytime someone says ""lacked leadership skills"", ""hid in their office"", ""did not communicate well"", it's a red flag that there is nothing substantive they can point to"
7,Those white capitalists funded by the CIA
8,Someone turning right on red off Benson at Arctic almost hit my son and I as we crossed Arctic in the walk with the signal
9,Now when I am frustrated by the slowness of response of the computer I remind myself of those days and have another sip of tea while I gaze out the window at the orange and purple sunset on the Wrangell Mountains
10,maybe it was a brown bear and the meat didn't need salvaged?
11,"This was not about holiness or respect for the flag, it was about protesting unaccountable police who know they can shoot black detainees, claim fear and never be prosecuted or convicted"
12,He is afraid to because he worked five years at City pushing the rail Transit Oriented land Development scam and now using Blue Planet which green washes the whole rail fiasco with all of the usual PRP propaganda
13,Tommy would make it a sanctuary for white supremacists
14,"White unarmed Australian woman getting shot by non-white cop seems to be getting lots of attention, despite your complaint that shootings of blacks by white cops get more attention"
15,"

As far as ""white cop shooting black man"" stories getting extra attention, see my initial remark that "" given that it is known that many (not all, by any means) white Americans regard darker skinned men (there is sexism as well as racism) as inherently threatening, it is reasonable to regard racism as a likely factor when a white cop shoots an otherwise unthreatening black man"""
16,"The $ charge makes no sense, especially when there is no charge for blankets on red eye flights"
17,"The question is not whether in the distant past, some have regarded black lives as not mattering to whites"
18,Do black lives matter in the USA?
19,and I don't put it past the orange man to have colluded with the russians and Assad to make this happen!Nuclear is part of green energy by most estimates and the Liberals didn't invent it nor can any government in Ontario do without using the nuclear assets already in place and paid for
20,"

Unfortunately for the press and the white house, we see the BS on both sides"
21,Sad to see that the NAACP is trying to withdraw Free Speech from a white man
22,"/mo to ak yellow dispach,about $"
23,this comment is from an ak yellow cab driver/owner who still has a job
24,"

Although I'm not sure arson by green radicals hoping to destroy the town has been conclusively ruled out, either"
25,she received two Nobel prizes (another white guy)
26,"Prior to the colonial era, genocidal actions were common, with the Mfecane and eradication of Koi Bushmen by black African hordes as they marched South and West in colonial expansion"
27,aren't you the little guy that lives in the constantly being harrassed and moving blue tent on leeward?
28," No investigation there?

This article is just some silly red meat for the left-wing base"
29,Do you read what you post?we have a black head coach maybe a little education on this issue might be a good idea
30,"

Samsung green energy fraud - billions changing hands, Ontario residents stuck with the highest energy prices in North America and Wynne says it's a success?"
31,I knew he was white before ever getting confirmation because nobody was referring to it as a terrorist incident
32,Let's go bomb some more brown people to keep the masters happy
33,"

This election was a about the preservation of white privilege"
34,Old white men are not welcome in Trudeau's sunny world
35,Not many asians here at all - this place looks as white as 's Victoria
36,"I presume white Buddhists, white Jews, and white Muslims fall into the same category"
37,"
There have been several out of the blue decisions by the board lately, first they disqualify a competitor for having a phone them give everyone a phone, have the animal rights folks got on the board or is it just more Russian hacking?bruceThe posters who are so ""offended"" by this column and, undoubtedly by Tabitha Southey's column as well, have proven the point of both beyond anything either could have done"
38,"Water , wine , bread , oil , white garments or cloths , gestures ?"
39,"com////donald-trump-rape-lawsuit/

On top of that, he is clearly buddy buddy with Putin, so that should raise red flags across the board"
40,"
-
Anyone who punches a Nazi simply because he is a Nazi is no better than someone who punches a black person simply because he is black, or who punches a gay person simply because he is gay"
41,How do you tell if its brown bear scat?
42,You should be a criminal defense attorney specializing in defending white supremacists on trial for murder
43,What these idiots fail to realize is that Trump has employed and cut pay checks to more black latino gay lesbian muslim and transgendered people than all previous presidents combined
44,"in other words this has become the new way to stifle competitors, hire a bunch of green groups, have them focus on Canadian Resources and watch our naive politically correct government and citizens destroy it"
45,"
We will be mobilized against this budget, and mobilized for a budget that actually reflects the priorities of all of us, not just Trump and his gang of white nationalists and oligarchs"
46,"And the moon is made of green cheese, eh?
What a buffoon"
47,Or maybe an element of the FSA from attacking soldiers belonging to the black ops coalition and falsely attributing it to ISIS?
48,"

But am I correct to assume that they cast a white man as the moron who tore all his fingers off while drunkenly snowmobiling or something?""Terrorism has a political, religious or social philosophy behind it with which gives the killer a sense of moral righteousness that is shared by others of the same philosophy"
49," 

Think about two examples of white terrorists:

Quebec s, separatists use kidnapping and murder as their terrorism tools, wanted future is separate Quebec"
50,"

And the word terrorism is perfectly appropriate for the above white terrorists, just as it is perfectly appropriate for Islamist attacks in European cities"
51,"

And, this issue also involves white people in Eugene and Lane County"
52,"

Much like white nationalists, it's better to treat it like the dumb fringe ideology it is"
53,Because white and black people react differently to the same prison?
54,"

What's good for a white is good for a black or a brown person"
55," Jaqith!
Chocolate Milk come's from the Legislative Milk Bucket, just toss in a little Palin, and even Black and White Cows, produce brown milk"
