,0
0,"To both the girl and the dog 's surprise , there was a small brown bear resting in the bushes ."
1,"Finally , she saw a black and white spotted one that she fell in love with ."
2,"She opened one of the little folded papers and looked at the fine white powder it contained , took a little on the end of her finger and tasted it ."
3,"He 'd seen a dog before , every cat has , and he used to live with a black dog named Henry , but he 'd never seen a brown one before ."
4,"She opened one of the little folded papers and looked at the fine white powder it contained , took a little on the end of her finger and tasted it ."
5,"It was white , too , but coarser than the medicine ."
6,The new novel takes place in a morally gray and often violent world .
7,He is a cute black kitty named Dillon .
8,Sails of obscene orange and a green that insulted springtime hung draped across reds that might have been sensual elsewhere but here were only offensive .
9,"There was no other hiding - place possible , except beneath the bed , and the ruthless hand of the inspector had torn off the white muslin bed hangings , revealing emptiness underneath ."
10,"Deborah has blonde hair , and Billy and Sally 's father , Bob , has brown hair ."
11,Then the green ball told the orange ball that blue ball was stupid .
12,Most felt this was not good to do and so they punished the green ball by taking away all his air .
13,"Captured Moments by Will Shetterly I remember Papa 's stopbox , a teal blue Tiempo Capturado that Mama brought home for his birthday ."
14,"When her mom first made it , it was white ."
15,"But it makes a valid claim which you ignore entirely : That the strategy to promote "" gun rights "" for white people and to outlaw gun possession by black people was a way to uphold racism without letting an openly terrorist organization like the KKK flourish ."
16,Did the th century NRA in the southern states promote gun rights for black people ?
17,From that day on everyone saw the air - less green ball and knew that they could not do or say any bad things .
18,The purple ball used the fear of everyone to become the leader that they all feared .
19,The purple ball was mean to everyone .
20,"His stories are set in Pelecanos ' hometown of Washington , D.C. , but this is not the side of the U.S. capitol that you see portrayed on TV with white marble monuments , lawyers and lobbyists ."
21,Tim had always a red bike .
22,Palast picks up the story with Bush s  US Presidential Election campaign where he claims Florida Governor Jeb Bush and Florida Secretary of State Katherine Harris used their influence to purge and discount the ballots of predominantly Gore - supporting black voters through the fake felons list compiled by private company DBT / ChoicePoint for US$  million .
23,"INGREDIENTS.--The remains of a boiled calf 's head ,  - / pint of the liquor in which the head was boiled ,  blade of pounded mace ,  onion minced , a bunch of savoury herbs , salt and white pepper to taste , thickening of butter and flour , the yolks of  eggs ,  tablespoonful of lemon - juice , forcemeat balls ."
24,"It was prettily furnished in white , with white curtains , and toilet - table articles in ivory to match ."
25,"He stood in front of a blue light , so I could n't see him clearly , but what I saw was memorable ."
26,"He wore a jacket of what might have been blue velvet , and his hair gleamed black against his white skin ."
