color,sentence
red,Italy was again down a player because of a red card.
red,Others were parading with red and green lettering on white bedsheets.
red,The exterior walls are of brick in a soft red color.
red,"To me and my family, the Red Sox were everything."
red,"It is colored in yellow, red, black and green."
red,"1 cup chopped fresh red and green chili peppers, including seeds"
red,They took a shot at the referee and his red card.
red,"""You've got to get the red out."
red,CHELBA-- Yemenite orange-red hot-pepper sauce.
red,The barn-red porch is just a slab of concrete.
red,It's difficult to see red in a sentence .
red,Stir in Easy Red Sauce or Chipotle Sauce and heat through.
red,"Why, for example, is the Great Red Spot red?"
red,"Why, for example, is the Great Red Spot red?"
red,The Pirates are 3-9 against the Reds this season.
red,The sacrifice of the red shoes had already seen to that.
red,There the president placed a wreath of red and white carnations.
red,Scatter one fourth of the julienned red pepper over the eggplant.
red,An accompanying article suggests red wines that pair nicely with burgers.
red,"Red signifies happiness, thus it is used in Chinese weddings."
red,"But to call red-meated trout salmon is highly unethical,"
red,Spain's Riojas are ideal red wines for informal meals.
red,16 ounces whole red and yellow peppers or 14 ounces coarsely chopped
red,"Every red-blooded boy wants to do an erotic thriller,"
red,Decorate each egg with 2 strips of red pepper or pimento.
red,"Satan has almost always been depicted as red as boiled crabs,"
red,The deep lavender-purple flowers have prominent scarlet red stigmas.
red,"Ms . Shotstrom herself wears a red, sultry hoop dress."
red,The victorious Red Army marches into Bucharest on Aug . 28.
red,"His favorite song was "" Red River Valley ."""
red,Even the unusual name of the red wine was chosen quickly.
red,It's difficult to see red in a sentence .
red,"Boston Red Sox CEO John Harrington squashed that idea, though."
red,"United's Red Carpet Club claims 200, 000 members."
red,And Montreal Red has plenty of time to rest between races.
red,The cabinet doors are fitted with red and white gingham inserts.
red,With a real picket fence and porch swing and red barn.
red,Basic Red Gazpacho Total time : 20 minutes plus time to chill
red,Judy's been rolling around in the red dirt again.
red,"As a Boston Red Sox fan, Gould expressed some dolor."
red,The left side of his upper back showed deep red bruises.
red,Red Delicious apples and green Granny Smiths shine with crisp promise.
red,"His drug of choice, he says, is red wine."
red,And what of the red line at PS 69 in Queens?
red,"A day later, he interviewed with the Detroit Red Wings."
red,"The bra comes in red, black, white and beige."
red,1 small hot pepper or 1 / 4 teaspoon red pepper flakes
red,Upper Deck blue & red SP Holleviews; 7.
red,A red vinyl one was worn over a white sun dress.
red,"Bart, the Red Raiders'free safety, had two."
red,"Still, fire-engine red isn't for everyone."
red,"Mary Kay Lasting Color Lipstick, Red Flame, $ 9."
red,It's difficult to see red in a sentence .
orange,Stir in orange rind and 1 / 2 cup chopped nuts.
orange,CHELBA-- Yemenite orange-red hot-pepper sauce.
orange,His television ad pictured offenders in orange clothing along a road.
orange,"It is outlined in orange, so it must be official."
orange,Then return beef to wok along with the orange juice mixture.
orange,The salad of oranges and arugula carry out the Italian theme.
orange,Bananas and oranges with thick peels are generally OK to eat.
orange,And I could see oranges and bananas-- and pineapples.
orange,Think pumpkin cheesecake with ginger crust and blood orange maple sauce.
orange,Orange Bowl-- Tulsa vs . Georgia Tech . ..
orange,It's difficult to see orange in a sentence .
orange,"It looks much like its common cousin, the orange clivia."
orange,But more potential casualties of Orange County's trouble emerged.
orange,Merrill has denied any wrongdoing in its relationship with Orange County.
orange,"The Orange Bowl's seating capacity is 74, 476."
orange,The orange dog vanished just as mysteriously as it had appeared.
orange,This is one time when apples and oranges match up nicely.
orange,The winner gets $ 100 and a box of Florida oranges.
orange,"Add sugar, salt and orange zest; beat until fluffy."
orange,Locations are planned throughout the Los Angeles-Orange County area.
orange,Orange County has crossed the line and gone into the unspeakable.
orange,Tropicana has introduced a new line of nutritionally enhanced orange juice.
orange,"Subtly, the orange becomes gold; the rose, pink."
orange,"4 . Peel oranges, and cut each segment in half."
orange,"Combine the sugar, cornstarch and orange peel in a pan."
orange,"So did shades of orange, and clear reds were everywhere."
orange,Blend the orange juice and lemon juice into the tea mixture.
orange,Mrs . Weisman was surmounted herself by a fluorescent orange hairdo.
orange,Merrill Lynch took issue with statements from some Orange County supervisors.
orange,"Despite the name, there is no orange in this recipe."
orange,Orange County and its pool declared bankruptcy on Dec . 6.
orange,It's difficult to see orange in a sentence .
orange,Arpaio said as orange-suited prisoners hacked at roadside weeds.
orange,"_FRANK BENEST, city manager of Brea in Orange County."
orange,"But clearly, Orange County is testing the rules of engagement."
orange,"Where other troubled municipalities lacked money, Orange County has plenty."
orange,Orange County's actions turn municipal finance on its head.
orange,Judi Brown said in an interview with The Orange County Register.
orange,The Orange County situation is helping MBIA in two important ways.
orange,It was a clear-cut boycott on Orange County paper.
orange,"Add the peanut oil and orange juice, and mix well."
orange,Orange County declared bankruptcy following investment blunders by the county treasurer.
orange,Most observers reacted as though Orange Countians had betrayed their bondholders.
orange,"Add eggs, syrup, brandy, orange peel and vanilla."
orange,"The alliance consists of the Fiesta, Orange and Sugar bowls."
orange,"Capsicum soup blends red pepper and tomato, highlighted with orange."
orange,"The three alliance bowls are the Fiesta, Sugar and Orange."
orange,It was much the same story in Ventura and Orange counties.
orange,Trading begins tomorrow in one-month contracts for navel oranges.
orange,Orange juice prices have jumped 12 percent in the past month.
orange,"Orange County, Calif ., might have missed its chance."
orange,The stetl never saw a cranberry-and-orange bagel.
orange,It's difficult to see orange in a sentence .
yellow,"A dozen of them have unfurled a long, yellow banner."
yellow,"It is colored in yellow, red, black and green."
yellow,16 ounces whole red and yellow peppers or 14 ounces coarsely chopped
yellow,"A soothing wind caresses wildflowers of yellow, pink and blue."
yellow,A Chanel muff was a puff of pink and yellow marabou.
yellow,Yellow Triumph Stage : Remember that classy little British convertible number?
yellow,"This is how yellow fever, malaria and encephalitis are spread."
yellow,Gawkers stared at bloodstains on the pale-yellow outside wall.
yellow,"For the suspected yellow fever outbreak in Nigeria, press three."
yellow,Or look in the Yellow Pages under Parapsychologists or Metaphysical services.
yellow,It's difficult to see yellow in a sentence .
yellow,"1 large red OR yellow bell pepper, seeded and thinly sliced"
yellow,"Everybody on the plane told me to take only yellow cabs,"
yellow,The yellow buttons only made Ben seem more of a fool.
yellow,Advertisements in the yellow pages often say which ones rent cars.
yellow,"Add kidney beans, sliced onion and green and yellow beans."
yellow,"In Los Angeles, the Chinese yellow pages list about 40."
yellow,Little black-and-white Mickey Dugan turned bright yellow.
yellow,A pollarded willow turned fiery yellow under the late afternoon sun.
yellow,"The feathers are brilliant yellows, blues, reds and greens."
yellow,"Red and yellow signs inside cry, "" Close outs."
